frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
5639.61,3.54,-1.93,3.55,-1.93,1.96,2.79,3.19,5.50,5.51,5.47
5696.00,3.53,-1.90,3.52,-1.90,1.94,2.70,3.11,5.46,5.46,5.43
5752.96,3.49,-1.89,3.47,-1.91,1.93,2.61,3.03,5.42,5.40,5.38
5810.49,3.41,-1.92,3.40,-1.93,1.93,2.53,2.95,5.34,5.34,5.33
5868.60,3.33,-1.95,3.33,-1.96,1.95,2.44,2.88,5.28,5.27,5.28
5927.28,3.26,-1.97,3.24,-1.99,1.95,2.37,2.81,5.21,5.20,5.23
5986.56,3.20,-1.98,3.17,-2.00,1.96,2.29,2.74,5.15,5.13,5.18
6046.42,3.13,-1.97,3.12,-1.98,1.94,2.22,2.67,5.08,5.06,5.11
6106.89,3.11,-1.91,3.08,-1.94,1.91,2.15,2.61,5.02,5.00,5.02
6167.96,3.11,-1.83,3.06,-1.88,1.87,2.09,2.55,4.98,4.93,4.94
6229.64,3.11,-1.75,3.05,-1.81,1.82,2.02,2.50,4.93,4.86,4.86
6291.93,3.11,-1.67,3.03,-1.74,1.76,1.97,2.44,4.87,4.79,4.78
6354.85,3.11,-1.59,3.00,-1.69,1.70,1.91,2.39,4.81,4.70,4.70
6418.40,3.11,-1.51,2.96,-1.64,1.64,1.86,2.34,4.75,4.61,4.62
6482.58,3.11,-1.42,2.91,-1.59,1.60,1.81,2.29,4.71,4.51,4.53
6547.41,3.11,-1.34,2.85,-1.56,1.57,1.76,2.25,4.67,4.42,4.45
6612.88,3.11,-1.26,2.77,-1.55,1.55,1.71,2.20,4.65,4.32,4.37
6679.01,3.11,-1.18,2.68,-1.54,1.54,1.67,2.16,4.65,4.22,4.29
6745.80,3.11,-1.08,2.56,-1.54,1.55,1.63,2.12,4.66,4.11,4.19
6813.26,3.11,-0.97,2.41,-1.56,1.57,1.60,2.09,4.68,3.99,4.08
6881.39,3.07,-0.90,2.25,-1.59,1.61,1.56,2.05,4.67,3.85,3.97
6950.21,3.02,-0.85,2.06,-1.64,1.65,1.53,2.02,4.67,3.71,3.87
7019.71,2.98,-0.78,1.86,-1.70,1.70,1.50,1.98,4.68,3.56,3.76
7089.91,2.90,-0.75,1.67,-1.75,1.75,1.47,1.95,4.65,3.42,3.65
7160.81,2.83,-0.69,1.47,-1.80,1.79,1.45,1.92,4.62,3.27,3.52
7232.41,2.73,-0.65,1.28,-1.85,1.84,1.43,1.89,4.57,3.12,3.38
7304.74,2.56,-0.68,1.10,-1.88,1.87,1.41,1.86,4.43,2.97,3.24
7377.79,2.39,-0.71,0.93,-1.90,1.89,1.39,1.83,4.28,2.82,3.10
7451.56,2.22,-0.74,0.78,-1.90,1.90,1.38,1.80,4.12,2.68,2.96
7526.08,2.05,-0.77,0.64,-1.90,1.89,1.37,1.77,3.94,2.54,2.82
7601.34,1.88,-0.80,0.52,-1.88,1.88,1.36,1.74,3.76,2.39,2.68
7677.35,1.61,-0.94,0.39,-1.85,1.85,1.36,1.71,3.46,2.25,2.55
7754.13,1.33,-1.08,0.28,-1.82,1.82,1.35,1.68,3.15,2.10,2.41
7831.67,1.02,-1.25,0.17,-1.79,1.78,1.36,1.65,2.81,1.95,2.27
7909.98,0.70,-1.44,0.06,-1.74,1.74,1.36,1.62,2.44,1.80,2.14
7989.08,0.37,-1.63,-0.05,-1.70,1.70,1.37,1.59,2.07,1.65,2.00
8068.98,-0.04,-1.88,-0.16,-1.66,1.66,1.38,1.55,1.62,1.50,1.84
8149.67,-0.44,-2.11,-0.27,-1.61,1.62,1.40,1.52,1.17,1.35,1.67
8231.16,-0.80,-2.31,-0.38,-1.57,1.58,1.42,1.48,0.78,1.19,1.51
8313.47,-1.16,-2.50,-0.50,-1.54,1.54,1.44,1.45,0.38,1.04,1.34
8396.61,-1.57,-2.74,-0.62,-1.50,1.51,1.46,1.41,-0.06,0.88,1.17
8480.57,-1.95,-2.96,-0.75,-1.48,1.48,1.49,1.37,-0.47,0.73,1.01
8565.38,-2.31,-3.13,-0.89,-1.45,1.46,1.52,1.33,-0.85,0.57,0.82
8651.03,-2.65,-3.29,-1.03,-1.44,1.44,1.55,1.29,-1.21,0.41,0.64
8737.54,-2.98,-3.43,-1.17,-1.43,1.43,1.57,1.25,-1.55,0.25,0.45
8824.92,-3.31,-3.57,-1.32,-1.42,1.42,1.60,1.20,-1.89,0.10,0.26
8913.17,-3.54,-3.61,-1.47,-1.41,1.41,1.62,1.16,-2.13,-0.06,0.07
9002.30,-3.77,-3.65,-1.63,-1.41,1.41,1.63,1.12,-2.37,-0.22,-0.12
9092.32,-4.00,-3.68,-1.79,-1.41,1.40,1.64,1.07,-2.60,-0.38,-0.32
9183.25,-4.18,-3.65,-1.94,-1.40,1.40,1.63,1.03,-2.78,-0.54,-0.53
9275.08,-4.36,-3.62,-2.10,-1.40,1.40,1.61,0.99,-2.96,-0.70,-0.74
9367.83,-4.52,-3.57,-2.26,-1.40,1.40,1.59,0.94,-3.12,-0.86,-0.95
9461.51,-4.63,-3.47,-2.42,-1.40,1.40,1.55,0.90,-3.23,-1.01,-1.16
9556.12,-4.73,-3.36,-2.57,-1.40,1.41,1.50,0.86,-3.32,-1.17,-1.37
9651.68,-4.83,-3.23,-2.74,-1.40,1.41,1.45,0.81,-3.42,-1.33,-1.60
9748.20,-4.92,-3.10,-2.90,-1.40,1.41,1.39,0.77,-3.51,-1.49,-1.82
9845.68,-5.02,-2.98,-3.06,-1.40,1.41,1.32,0.73,-3.61,-1.66,-2.04
9944.14,-5.10,-2.84,-3.23,-1.41,1.40,1.25,0.69,-3.70,-1.83,-2.26
10043.58,-5.16,-2.68,-3.39,-1.41,1.38,1.19,0.65,-3.78,-2.01,-2.48
10144.02,-5.22,-2.54,-3.54,-1.37,1.36,1.12,0.61,-3.86,-2.18,-2.68
10245.46,-5.29,-2.41,-3.69,-1.33,1.33,1.05,0.57,-3.96,-2.36,-2.88
10347.91,-5.35,-2.27,-3.84,-1.28,1.29,0.99,0.53,-4.06,-2.55,-3.08
10451.39,-5.42,-2.14,-3.99,-1.24,1.25,0.93,0.49,-4.17,-2.74,-3.28
10555.91,-5.48,-2.00,-4.14,-1.19,1.20,0.87,0.45,-4.29,-2.94,-3.48
10661.46,-5.55,-1.87,-4.29,-1.14,1.15,0.82,0.41,-4.40,-3.14,-3.68
10768.08,-5.62,-1.73,-4.44,-1.10,1.10,0.77,0.37,-4.52,-3.35,-3.89
10875.76,-5.68,-1.58,-4.60,-1.05,1.05,0.72,0.33,-4.64,-3.55,-4.10
10984.52,-5.75,-1.44,-4.75,-1.00,1.00,0.68,0.29,-4.75,-3.76,-4.31
11094.36,-5.81,-1.29,-4.91,-0.94,0.94,0.64,0.25,-4.87,-3.96,-4.52
11205.31,-5.89,-1.16,-5.06,-0.89,0.89,0.60,0.22,-5.00,-4.17,-4.73
11317.36,-5.96,-1.01,-5.22,-0.84,0.84,0.57,0.18,-5.13,-4.38,-4.95
11430.53,-6.04,-0.87,-5.38,-0.78,0.78,0.54,0.14,-5.26,-4.60,-5.17
11544.84,-6.07,-0.68,-5.54,-0.73,0.73,0.51,0.10,-5.34,-4.81,-5.39
11660.29,-6.10,-0.49,-5.70,-0.67,0.67,0.48,0.06,-5.43,-5.03,-5.61
11776.89,-6.12,-0.29,-5.86,-0.61,0.61,0.45,0.02,-5.51,-5.25,-5.83
11894.66,-6.12,-0.10,-6.02,-0.55,0.55,0.43,-0.02,-5.57,-5.47,-6.02
12013.60,-6.12,0.10,-6.19,-0.49,0.49,0.40,-0.06,-5.63,-5.69,-6.22
12133.74,-6.12,0.30,-6.35,-0.43,0.43,0.38,-0.10,-5.69,-5.92,-6.41
12255.08,-6.07,0.53,-6.51,-0.37,0.37,0.36,-0.14,-5.71,-6.15,-6.60
12377.63,-6.03,0.76,-6.68,-0.30,0.30,0.34,-0.19,-5.73,-6.38,-6.79
12501.41,-6.01,0.97,-6.85,-0.24,0.24,0.32,-0.23,-5.78,-6.61,-6.98
12626.42,-6.06,1.12,-7.02,-0.17,0.17,0.31,-0.28,-5.88,-6.84,-7.18
12752.68,-6.10,1.27,-7.18,-0.11,0.11,0.29,-0.33,-5.99,-7.08,-7.37
12880.21,-6.15,1.42,-7.35,-0.04,0.04,0.28,-0.38,-6.11,-7.32,-7.57
13009.01,-6.23,1.53,-7.53,0.03,-0.03,0.26,-0.44,-6.26,-7.56,-7.76
13139.10,-6.31,1.65,-7.70,0.10,-0.10,0.25,-0.50,-6.41,-7.80,-7.96
13270.49,-6.40,1.75,-7.87,0.17,-0.17,0.24,-0.56,-6.57,-8.04,-8.15
13403.20,-6.52,1.81,-8.04,0.24,-0.24,0.22,-0.62,-6.76,-8.29,-8.33
13537.23,-6.64,1.87,-8.22,0.32,-0.32,0.21,-0.69,-6.95,-8.53,-8.51
13672.60,-6.78,1.92,-8.39,0.39,-0.39,0.20,-0.76,-7.17,-8.78,-8.70
13809.33,-6.93,1.95,-8.57,0.46,-0.46,0.19,-0.83,-7.40,-9.04,-8.88
13947.42,-7.09,1.97,-8.75,0.54,-0.54,0.18,-0.92,-7.63,-9.29,-9.06
14086.90,-7.26,1.98,-8.93,0.62,-0.62,0.17,-1.00,-7.88,-9.55,-9.24
14227.77,-7.44,1.97,-9.11,0.70,-0.70,0.16,-1.09,-8.14,-9.80,-9.41
14370.04,-7.62,1.96,-9.29,0.78,-0.78,0.15,-1.19,-8.40,-10.06,-9.58
14513.74,-7.88,1.87,-9.47,0.86,-0.86,0.15,-1.29,-8.74,-10.33,-9.75
14658.88,-8.16,1.76,-9.65,0.94,-0.94,0.14,-1.40,-9.09,-10.59,-9.92
14805.47,-8.44,1.65,-9.84,1.02,-1.02,0.13,-1.51,-9.46,-10.86,-10.09
14953.52,-8.73,1.53,-10.02,1.10,-1.10,0.12,-1.63,-9.83,-11.12,-10.26
15103.06,-9.06,1.41,-10.20,1.19,-1.19,0.12,-1.74,-10.25,-11.39,-10.47
15254.09,-9.44,1.25,-10.39,1.27,-1.27,0.11,-1.85,-10.72,-11.67,-10.69
15406.63,-9.82,1.10,-10.58,1.36,-1.36,0.10,-1.95,-11.18,-11.94,-10.92
15560.70,-10.20,0.94,-10.77,1.45,-1.45,0.10,-2.04,-11.65,-12.22,-11.14
15716.30,-10.58,0.79,-10.96,1.54,-1.54,0.09,-2.11,-12.12,-12.49,-11.37
15873.47,-10.97,0.62,-11.15,1.63,-1.63,0.09,-2.16,-12.59,-12.77,-11.59
16032.20,-11.27,0.56,-11.34,1.72,-1.72,0.08,-2.17,-12.99,-13.06,-11.83
16192.52,-11.55,0.60,-11.53,1.81,-1.81,0.08,-2.16,-13.36,-13.34,-12.15
16354.45,-11.80,0.66,-11.72,1.90,-1.90,0.07,-2.10,-13.70,-13.63,-12.46
16517.99,-11.97,0.81,-11.92,2.00,-2.00,0.07,-2.02,-13.96,-13.91,-12.77
16683.17,-12.13,0.96,-12.11,2.09,-2.09,0.06,-1.91,-14.23,-14.20,-13.09
16850.01,-12.31,1.09,-12.31,2.19,-2.19,0.06,-1.77,-14.50,-14.50,-13.40
17018.51,-12.49,1.24,-12.50,2.29,-2.29,0.05,-1.63,-14.78,-14.79,-13.73
17188.69,-12.67,1.48,-12.70,2.39,-2.39,0.05,-1.47,-15.05,-15.09,-14.15
17360.58,-12.91,1.67,-12.90,2.49,-2.49,0.04,-1.32,-15.40,-15.39,-14.58
17534.18,-13.22,1.79,-13.10,2.59,-2.59,0.04,-1.17,-15.80,-15.69,-15.01
17709.53,-13.53,1.90,-13.30,2.69,-2.69,0.04,-1.03,-16.22,-15.99,-15.43
17886.62,-13.91,1.95,-13.50,2.79,-2.79,0.03,-0.90,-16.70,-16.29,-15.86
18065.49,-14.30,2.03,-13.70,2.89,-2.89,0.03,-0.78,-17.19,-16.60,-16.33
18246.14,-14.68,2.19,-13.91,3.00,-3.00,0.03,-0.68,-17.67,-16.91,-16.87
18428.60,-15.03,2.39,-14.11,3.11,-3.11,0.03,-0.58,-18.13,-17.22,-17.42
18612.89,-15.32,2.64,-14.32,3.21,-3.21,0.02,-0.49,-18.53,-17.53,-17.96
18799.02,-15.60,2.91,-14.52,3.32,-3.32,0.02,-0.42,-18.92,-17.84,-18.51
18987.01,-15.71,3.34,-14.73,3.43,-3.43,0.02,-0.35,-19.14,-18.16,-19.05
19176.88,-15.79,3.89,-14.94,3.54,-3.54,0.02,-0.30,-19.33,-18.48,-19.68
19368.65,-15.87,4.46,-15.15,3.65,-3.65,0.01,-0.25,-19.52,-18.80,-20.32
19562.33,-15.94,5.01,-15.36,3.76,-3.76,0.01,-0.20,-19.71,-19.12,-20.95
19757.96,-16.02,5.56,-15.57,3.88,-3.88,0.01,-0.17,-19.90,-19.45,-21.58
19955.54,-16.10,6.12,-15.78,3.99,-3.99,0.01,-0.13,-20.09,-19.77,-22.22
